-1221664672 function calls (-1221699469 primitive calls) in 3181.945 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    653/1    0.007    0.000 3181.946 3181.946 {built-in method builtins.exec}
        1    0.003    0.003 3181.946 3181.946 solver.py:1(<module>)
        2    0.045    0.022 3178.766 1589.383 learner.py:235(lstar_algorithm)
   581829    1.959    0.000 3154.451    0.005 learner.py:540(__sift_return_node)
      120    0.565    0.005 3141.191   26.177 learner.py:483(construct_hypothesis)
   581184    0.458    0.000 3139.903    0.005 learner.py:587(__sift)
   121669    6.570    0.000 3136.253    0.026 teacher.py:132(_create_world)
   121669  126.486    0.001 3126.112    0.026 hex_v2.py:1175(__init__)
 58976226 2345.839    0.000 2953.331    0.000 hex_v2.py:858(__init__)
  2776048    4.898    0.000 2134.067    0.001 movement_teacher.py:11(memoizer)
    79323    0.259    0.000 2129.169    0.027 movement_teacher.py:59(member)
   855685    1.578    0.000 1039.765    0.001 direction_teacher.py:11(memoizer)
    43727    0.130    0.000 1038.187    0.024 direction_teacher.py:58(member)
-1817965804  504.553   -0.000  504.553   -0.000 {method 'rotate' of 'pygame.math.Vector2' objects}
436277634   80.605    0.000   80.605    0.000 {method 'append' of 'list' objects}
 58976226   37.877    0.000   37.877    0.000 hex_v2.py:850(__create_coor)
   121669    1.396    0.000   30.699    0.000 hex_v2.py:751(find_next_move)
   334632    1.353    0.000   28.376    0.000 hex_v2.py:732(find_closest_goal)
  6813464   18.243    0.000   26.996    0.000 hex_v2.py:912(make_wall)
   575106    0.724    0.000   26.682    0.000 hex_v2.py:1295(axial_distance)
   575106    0.567    0.000   25.661    0.000 hex_v2.py:1291(axial_subtract)
   121671    0.963    0.000   25.092    0.000 <frozen ntpath>:700(realpath)
   243342   22.182    0.000   22.182    0.000 {built-in method nt._getfinalpathname}
      118    0.004    0.000   15.204    0.129 learner.py:340(update_tree)
       45    0.002    0.000   11.961    0.266 direction_teacher.py:105(equivalent)
       77    0.002    0.000   10.560    0.137 movement_teacher.py:102(equivalent)
  9672520    8.564    0.000    8.564    0.000 hex_v2.py:27(__init__)
       66    0.004    0.000    4.490    0.068 __init__.py:1(<module>)
   121669    3.877    0.000    3.888    0.000 {built-in method pygame.base.init}
    701/2    0.007    0.000    2.581    1.290 <frozen importlib._bootstrap>:1343(_find_and_load)
    697/2    0.004    0.000    2.581    1.290 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
    685/2    0.003    0.000    2.580    1.290 <frozen importlib._bootstrap>:905(_load_unlocked)
    617/2    0.002    0.000    2.580    1.290 <frozen importlib._bootstrap_external>:988(exec_module)
   1558/4    0.002    0.000    2.578    0.645 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.001    0.001    2.568    2.568 learner.py:1(<module>)
   449/20    0.001    0.000    2.181    0.109 {built-in method builtins.__import__}
   741/87    0.002    0.000    2.075    0.024 <frozen importlib._bootstrap>:1384(_handle_fromlist)
   121674    0.136    0.000    1.819    0.000 <frozen ntpath>:275(dirname)
   121760    0.674    0.000    1.684    0.000 <frozen ntpath>:236(split)
     1266    0.174    0.000    1.114    0.001 teacher.py:611(generate_string)
   365782    0.768    0.000    1.072    0.000 <frozen ntpath>:179(splitroot)
   121903    0.464    0.000    0.990    0.000 <frozen ntpath>:107(join)
        1    0.000    0.000    0.899    0.899 pyplot.py:1(<module>)
   243344    0.382    0.000    0.898    0.000 <frozen ntpath>:51(normcase)
        1    0.000    0.000    0.894    0.894 teacher.py:1(<module>)
        1    0.000    0.000    0.790    0.790 hex_v2.py:1(<module>)
  685/676    0.002    0.000    0.780    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
3003453/3002302    0.750    0.000    0.750    0.000 {built-in method builtins.len}
    49/47    0.000    0.000    0.750    0.016 <frozen importlib._bootstrap_external>:1286(create_module)
