         1065921822 function calls (1065585182 primitive calls) in 2089.782 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2486839  679.386    0.000  679.386    0.000 {method 'insert' of 'list' objects}
 17229815  282.293    0.000 1913.655    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\learner.py:479(__sift_return_node)
  7167648  280.364    0.000  351.551    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\hex_v2.py:849(__init__)
 92708288  176.027    0.000  973.621    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\movement_teacher.py:11(memoizer)
  1526265  141.670    0.000  865.651    0.001 C:\AmherstPrograms\SURF2024\PygamePractice\teacher.py:145(_create_world)
 51481286   99.624    0.000  675.152    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\direction_teacher.py:11(memoizer)
301041216   58.251    0.000   58.251    0.000 {method 'rotate' of 'pygame.math.Vector2' objects}
366303600   51.370    0.000   51.370    0.000 {method 'clear' of 'list' objects}
 17415598   40.452    0.000   40.452    0.000 {method 'index' of 'list' objects}
 17227600   35.407    0.000 1947.475    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\learner.py:526(__sift)
  1526265   29.982    0.000  491.700    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\hex_v2.py:744(find_next_move)
  4311045   26.427    0.000  425.083    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\hex_v2.py:728(find_closest_goal)
  7166688   21.678    0.000  373.166    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\hex_v2.py:1282(axial_subtract)
  7166688   18.644    0.000  395.201    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\hex_v2.py:1286(axial_distance)
32740/13648   17.270    0.001    0.108    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\queue.py:154(get)
 144461/3   16.583    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
 65664966   13.569    0.000   13.569    0.000 {method 'append' of 'list' objects}
    13649   11.564    0.001 3567.728    0.261 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\threading.py:616(wait)
  2874030   11.527    0.000   11.527    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\hex_v2.py:784(<genexpr>)
  1437015   10.847    0.000   16.567    0.000 {built-in method builtins.next}
  4311045    9.239    0.000   12.216    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\hex_v2.py:67(get_neighbor)
   868061    8.048    0.000  796.537    0.001 C:\AmherstPrograms\SURF2024\PygamePractice\movement_teacher.py:52(member)
 35905692    7.676    0.000    7.676    0.000 {method 'keys' of 'dict' objects}
   663643    6.535    0.000  574.859    0.001 C:\AmherstPrograms\SURF2024\PygamePractice\direction_teacher.py:26(member)
  7167648    4.932    0.000    4.932    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\hex_v2.py:841(__create_coor)
      408    4.590    0.011  788.087    1.932 C:\AmherstPrograms\SURF2024\PygamePractice\learner.py:427(construct_hypothesis)
    36116    4.032    0.000 1300.093    0.036 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\threading.py:302(wait)
 21625654    3.364    0.000    3.364    0.000 {built-in method builtins.abs}
  4311045    2.976    0.000    2.976    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\hex_v2.py:74(__get_neighbor)
  5748060    2.209    0.000    2.209    0.000 {built-in method builtins.min}
  7213370    1.776    0.000    1.776    0.000 {method 'values' of 'dict' objects}
  6516006    1.603    0.000    1.603    0.000 {built-in method builtins.len}
    11140    1.327    0.000    1.327    0.000 {built-in method builtins.print}
        2    1.132    0.566    1.136    0.568 {built-in method pygame.base.init}
     5035    1.004    0.000    4.289    0.001 C:\AmherstPrograms\SURF2024\PygamePractice\teacher.py:502(generate_string)
   371992    0.991    0.000    1.783    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\random.py:291(randrange)
   371992    0.786    0.000    2.568    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\random.py:332(randint)
   371992    0.451    0.000    0.635    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\random.py:242(_randbelow_with_getrandbits)
   329205    0.422    0.000    0.613    0.000 {method 'write' of '_io.TextIOWrapper' objects}
173492/408    0.370    0.000    0.370    0.001 C:\AmherstPrograms\SURF2024\PygamePractice\learner.py:564(size)
