         -775679987 function calls (-775702059 primitive calls) in 3239.004 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 67509012 2435.870    0.000 2989.913    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:858(__init__)
-1459588792  456.311   -0.000  456.311   -0.000 {method 'rotate' of 'pygame.math.Vector2' objects}
   139245  134.539    0.001 3178.451    0.023 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:1175(__init__)
499478182   71.987    0.000   71.987    0.000 {method 'append' of 'list' objects}
 67509012   40.029    0.000   40.029    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:850(__create_coor)
   278494   26.857    0.000   26.857    0.000 {built-in method nt._getfinalpathname}
  7797720   18.658    0.000   28.416    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:912(make_wall)
 11074047   10.020    0.000   10.020    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:27(__init__)
   139245    8.044    0.000 3190.315    0.023 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\teacher.py:132(_create_world)
  4071557    7.569    0.000 2211.142    0.001 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\movement_teacher.py:11(memoizer)
   139245    6.287    0.000    6.354    0.000 {built-in method pygame.base.init}
   785546    2.456    0.000 3204.814    0.004 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:484(__sift_return_node)
   905451    1.983    0.000 1021.283    0.001 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\direction_teacher.py:11(memoizer)
   139245    1.544    0.000   31.933    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:751(find_next_move)
   387360    1.540    0.000   29.545    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:732(find_closest_goal)
   139247    1.051    0.000   29.904    0.000 <frozen ntpath>:692(realpath)
   417747    0.973    0.000    1.345    0.000 <frozen ntpath>:179(splitroot)
   139247    0.875    0.000    2.357    0.000 <frozen ntpath>:236(split)
   671412    0.777    0.000   27.646    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:1295(axial_distance)
   814410    0.776    0.000    0.776    0.000 {method 'index' of 'list' objects}
   278494    0.664    0.000    0.664    0.000 {built-in method nt.getcwd}
      137    0.663    0.005 3191.152   23.293 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:427(construct_hypothesis)
  3300944    0.641    0.000    0.641    0.000 {built-in method builtins.len}
   671412    0.598    0.000   26.580    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:1291(axial_subtract)
   139250    0.592    0.000    1.104    0.000 <frozen ntpath>:107(join)
   278494    0.524    0.000    0.524    0.000 {built-in method _winapi.LCMapStringEx}
   784800    0.474    0.000 3189.608    0.004 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:531(__sift)
    97692    0.405    0.000 2203.572    0.023 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\movement_teacher.py:59(member)
   696251    0.400    0.000    0.400    0.000 {method 'startswith' of 'str' objects}
  1253236    0.391    0.000    0.391    0.000 {built-in method builtins.isinstance}
   835490    0.356    0.000    0.356    0.000 {method 'replace' of 'str' objects}
   278494    0.352    0.000    1.025    0.000 <frozen ntpath>:51(normcase)
   453835    0.318    0.000    0.843    0.000 C:\Users\skyle\AppData\Local\Programs\Python\Python312\Lib\random.py:291(randrange)
   516480    0.301    0.000    0.301    0.000 {built-in method builtins.min}
  2059848    0.294    0.000    0.294    0.000 {built-in method builtins.abs}
  1700966    0.285    0.000    0.285    0.000 {method 'keys' of 'dict' objects}
     2110    0.266    0.000    1.546    0.001 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\teacher.py:486(generate_string)
   453835    0.258    0.000    0.406    0.000 C:\Users\skyle\AppData\Local\Programs\Python\Python312\Lib\random.py:242(_randbelow_with_getrandbits)
   387360    0.241    0.000    0.413    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:67(get_neighbor)
   139247    0.239    0.000    0.402    0.000 <frozen ntpath>:87(isabs)
  1113989    0.226    0.000    0.226    0.000 {built-in method nt.fspath}
    43788    0.195    0.000 1019.300    0.023 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\direction_teacher.py:31(member)
   139247    0.176    0.000    2.533    0.000 <frozen ntpath>:275(dirname)
   645941    0.176    0.000    0.176    0.000 {method 'values' of 'dict' objects}
     3153    0.173    0.000    0.173    0.000 {built-in method builtins.print}
   387360    0.172    0.000    0.172    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:74(__get_neighbor)
   201310    0.163    0.000    0.184    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\make_alphabet.py:1(check_validity)
   139247    0.146    0.000    0.367    0.000 <frozen ntpath>:35(_get_bothseps)
   139247    0.136    0.000    0.136    0.000 {built-in method nt._path_normpath}
   453835    0.130    0.000    0.973    0.000 C:\Users\skyle\AppData\Local\Programs\Python\Python312\Lib\random.py:332(randint)
  1361505    0.120    0.000    0.120    0.000 {built-in method _operator.index}
   139267    0.114    0.000    0.114    0.000 {method 'rstrip' of 'str' objects}
