         74888726 function calls (74872672 primitive calls) in 55.018 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   559293   19.099    0.000   24.572    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:859(__init__)
   123259    6.227    0.000   14.027    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\teacher.py:131(_create_world)
 23490306    4.568    0.000    4.568    0.000 {method 'rotate' of 'pygame.math.Vector2' objects}
  2142166    4.018    0.000   28.180    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\movement_teacher.py:11(memoizer)
   194663    3.896    0.000    3.896    0.000 {method 'insert' of 'list' objects}
 29582160    3.770    0.000    3.770    0.000 {method 'clear' of 'list' objects}
  1355022    2.616    0.000   21.008    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\direction_teacher.py:11(memoizer)
   569887    1.775    0.000   49.581    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:484(__sift_return_node)
   339807    1.095    0.000   27.066    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:733(find_closest_goal)
  4380528    0.816    0.000    0.816    0.000 {method 'append' of 'list' objects}
   123259    0.716    0.000   28.309    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:752(find_next_move)
   594203    0.678    0.000    0.678    0.000 {method 'index' of 'list' objects}
   558333    0.592    0.000   25.773    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:1296(axial_distance)
      122    0.531    0.004   51.116    0.419 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:427(construct_hypothesis)
        2    0.486    0.243    0.490    0.245 {built-in method pygame.base.init}
   558333    0.412    0.000   24.947    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:1292(axial_subtract)
   569232    0.385    0.000   49.814    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:531(__sift)
   320004    0.283    0.000    0.751    0.000 C:\Users\skyle\AppData\Local\Programs\Python\Python312\Lib\random.py:291(randrange)
   559293    0.280    0.000    0.280    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:851(__create_coor)
  1253706    0.248    0.000    0.248    0.000 {method 'keys' of 'dict' objects}
  1706286    0.239    0.000    0.239    0.000 {built-in method builtins.abs}
     1515    0.234    0.000    1.373    0.001 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\teacher.py:484(generate_string)
   320004    0.228    0.000    0.360    0.000 C:\Users\skyle\AppData\Local\Programs\Python\Python312\Lib\random.py:242(_randbelow_with_getrandbits)
   453076    0.162    0.000    0.162    0.000 {built-in method builtins.min}
   142378    0.150    0.000    0.170    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\make_alphabet.py:1(check_validity)
   339807    0.134    0.000    0.242    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:68(get_neighbor)
   566640    0.133    0.000    0.133    0.000 {method 'values' of 'dict' objects}
     2799    0.127    0.000    0.127    0.000 {built-in method builtins.print}
   662533    0.125    0.000    0.125    0.000 {built-in method builtins.len}
   320004    0.116    0.000    0.866    0.000 C:\Users\skyle\AppData\Local\Programs\Python\Python312\Lib\random.py:332(randint)
    69627    0.112    0.000   24.163    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\movement_teacher.py:52(member)
   339807    0.108    0.000    0.108    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:75(__get_neighbor)
   960012    0.108    0.000    0.108    0.000 {built-in method _operator.index}
